Date,High
01-December-2014,370
02-December-2014,378
03-December-2014,378
04-December-2014,378
05-December-2014,377
06-December-2014,378
07-December-2014,378
08-December-2014,378
09-December-2014,375
10-December-2014,398
11-December-2014,361
12-December-2014,379
13-December-2014,350
14-December-2014,350
15-December-2014,350
16-December-2014,350
17-December-2014,350
18-December-2014,350
19-December-2014,340
20-December-2014,340
21-December-2014,340
22-December-2014,340
23-December-2014,340
24-December-2014,340
25-December-2014,340
26-December-2014,340
27-December-2014,340
28-December-2014,340
29-December-2014,340
30-December-2014,340
31-December-2014,340
01-January-2015,340
02-January-2015,340
03-January-2015,340
04-January-2015,340
05-January-2015,340
06-January-2015,340
07-January-2015,340
08-January-2015,360
09-January-2015,289
10-January-2015,289
11-January-2015,289
12-January-2015,289
13-January-2015,289
14-January-2015,260
15-January-2015,224
16-January-2015,226
17-January-2015,210
18-January-2015,184
19-January-2015,226
20-January-2015,226
21-January-2015,226
22-January-2015,258
23-January-2015,235
24-January-2015,251
25-January-2015,256
26-January-2015,323
27-January-2015,278
28-January-2015,266
29-January-2015,242
30-January-2015,245
31-January-2015,235
01-February-2015,234
02-February-2015,240
03-February-2015,244
04-February-2015,231
05-February-2015,229
06-February-2015,227
07-February-2015,231
08-February-2015,232
09-February-2015,225
10-February-2015,223
11-February-2015,224
12-February-2015,225
13-February-2015,242
14-February-2015,260
15-February-2015,268
16-February-2015,241
17-February-2015,248
18-February-2015,246
19-February-2015,245
20-February-2015,248
21-February-2015,248
22-February-2015,247
23-February-2015,241
24-February-2015,241
25-February-2015,241
26-February-2015,238
27-February-2015,259
28-February-2015,257
01-March-2015,260
02-March-2015,275
03-March-2015,290
04-March-2015,287
05-March-2015,281
06-March-2015,280
07-March-2015,279
08-March-2015,279
09-March-2015,294
10-March-2015,299
11-March-2015,298
12-March-2015,299
13-March-2015,297
14-March-2015,289
15-March-2015,289
16-March-2015,295
17-March-2015,294
18-March-2015,287
19-March-2015,267
20-March-2015,267
21-March-2015,264
22-March-2015,271
23-March-2015,274
24-March-2015,269
25-March-2015,250
26-March-2015,255
27-March-2015,251
28-March-2015,255
29-March-2015,254
30-March-2015,250
31-March-2015,250
01-April-2015,248
02-April-2015,255
03-April-2015,257
04-April-2015,257
05-April-2015,262
06-April-2015,263
07-April-2015,258
08-April-2015,256
09-April-2015,248
10-April-2015,245
