Date,High,300 MA
2014-12-01,370,#N/A
2014-12-02,378,#N/A
2014-12-03,378,#N/A
2014-12-04,378,#N/A
2014-12-05,377.1,#N/A
2014-12-06,378,#N/A
2014-12-07,378,#N/A
2014-12-08,378,#N/A
2014-12-09,375,#N/A
2014-12-10,398,#N/A
2014-12-11,360.5,#N/A
2014-12-12,379,#N/A
2014-12-13,350,#N/A
2014-12-14,350,#N/A
2014-12-15,350,#N/A
2014-12-16,350,#N/A
2014-12-17,350,#N/A
2014-12-18,350,#N/A
2014-12-19,340,#N/A
2014-12-20,340,#N/A
2014-12-21,340,#N/A
2014-12-22,340,#N/A
2014-12-23,340,#N/A
2014-12-24,340,#N/A
2014-12-25,340,#N/A
2014-12-26,340,#N/A
2014-12-27,340,#N/A
2014-12-28,340,#N/A
2014-12-29,340,#N/A
2014-12-30,340,#N/A
2014-12-31,340,#N/A
2015-01-01,340,#N/A
2015-01-02,340,#N/A
2015-01-03,340,#N/A
2015-01-04,340,#N/A
2015-01-05,340,#N/A
2015-01-06,340,#N/A
2015-01-07,340,#N/A
2015-01-08,360,#N/A
2015-01-09,288.99,#N/A
2015-01-10,288.99,#N/A
2015-01-11,288.99,#N/A
2015-01-12,288.99,#N/A
2015-01-13,288.99,#N/A
2015-01-14,260,#N/A
2015-01-15,224,#N/A
2015-01-16,225.5,#N/A
2015-01-17,210,#N/A
2015-01-18,184,#N/A
2015-01-19,225.51,#N/A
2015-01-20,225.51,#N/A
2015-01-21,225.51,#N/A
2015-01-22,257.73,#N/A
2015-01-23,235,#N/A
2015-01-24,250.58,#N/A
2015-01-25,256.26,#N/A
2015-01-26,322.72,#N/A
2015-01-27,278.47,#N/A
2015-01-28,265.99,#N/A
2015-01-29,242,#N/A
2015-01-30,244.59,#N/A
2015-01-31,234.67,#N/A
2015-02-01,233.79,#N/A
2015-02-02,240.1,#N/A
2015-02-03,243.9,#N/A
2015-02-04,230.99,#N/A
2015-02-05,228.9,#N/A
2015-02-06,226.64,#N/A
2015-02-07,230.5,#N/A
2015-02-08,231.6,#N/A
2015-02-09,225,#N/A
2015-02-10,222.64,#N/A
2015-02-11,223.61,#N/A
2015-02-12,224.61,#N/A
2015-02-13,242.36,#N/A
2015-02-14,259.98,#N/A
2015-02-15,267.86,#N/A
2015-02-16,241,#N/A
2015-02-17,248,#N/A
2015-02-18,246,#N/A
2015-02-19,245,#N/A
2015-02-20,248.32,#N/A
2015-02-21,248.12,#N/A
2015-02-22,247.48,#N/A
2015-02-23,240.97,#N/A
2015-02-24,241.21,#N/A
2015-02-25,240.99,#N/A
2015-02-26,238.46,#N/A
2015-02-27,259,#N/A
2015-02-28,256.97,#N/A
2015-03-01,259.97,#N/A
2015-03-02,275,#N/A
2015-03-03,289.5,#N/A
2015-03-04,287,#N/A
2015-03-05,281.09,#N/A
2015-03-06,280,#N/A
2015-03-07,279.44,#N/A
2015-03-08,278.97,#N/A
2015-03-09,294.42,#N/A
2015-03-10,299.48,#N/A
2015-03-11,297.8,#N/A
2015-03-12,298.9,#N/A
2015-03-13,296.52,#N/A
2015-03-14,289,#N/A
2015-03-15,289.24,#N/A
2015-03-16,294.99,#N/A
2015-03-17,293.69,#N/A
2015-03-18,287.05,#N/A
2015-03-19,266.8,#N/A
2015-03-20,267.42,#N/A
2015-03-21,264.04,#N/A
2015-03-22,271.27,#N/A
2015-03-23,273.99,#N/A
2015-03-24,268.51,#N/A
2015-03-25,249.99,#N/A
2015-03-26,254.9,#N/A
2015-03-27,250.99,#N/A
2015-03-28,254.99,#N/A
2015-03-29,254,#N/A
2015-03-30,250.06,#N/A
2015-03-31,249.98,#N/A
2015-04-01,248.22,#N/A
2015-04-02,255.24,#N/A
2015-04-03,257.43,#N/A
2015-04-04,256.6,#N/A
2015-04-05,262,#N/A
2015-04-06,263,#N/A
2015-04-07,258.11,#N/A
2015-04-08,255.75,#N/A
2015-04-09,248.16,#N/A
2015-04-10,244.95,#N/A
2015-04-11,239.99,#N/A
2015-04-12,239.16,#N/A
2015-04-13,238.03,#N/A
2015-04-14,222.16,#N/A
2015-04-15,224.24,#N/A
2015-04-16,230.75,#N/A
2015-04-17,230.08,#N/A
2015-04-18,224.04,#N/A
2015-04-19,226.72,#N/A
2015-04-20,227.45,#N/A
2015-04-21,235.81,#N/A
2015-04-22,238.6,#N/A
2015-04-23,236,#N/A
2015-04-24,236.93,#N/A
2015-04-25,233.67,#N/A
2015-04-26,227.91,#N/A
2015-04-27,231.11,#N/A
2015-04-28,229.04,#N/A
2015-04-29,227.3,#N/A
2015-04-30,240,#N/A
2015-05-01,238.78,#N/A
2015-05-02,237.15,#N/A
2015-05-03,242.97,#N/A
2015-05-04,243.99,#N/A
2015-05-05,240,#N/A
2015-05-06,237.87,#N/A
2015-05-07,239.18,#N/A
2015-05-08,247.06,#N/A
2015-05-09,247.6,#N/A
2015-05-10,244.89,#N/A
2015-05-11,245.49,#N/A
2015-05-12,243.4,#N/A
2015-05-13,244.13,#N/A
2015-05-14,240,#N/A
2015-05-15,239,#N/A
2015-05-16,237.99,#N/A
2015-05-17,238.45,#N/A
2015-05-18,237.89,#N/A
2015-05-19,234.92,#N/A
2015-05-20,235,#N/A
2015-05-21,236.74,#N/A
2015-05-22,242,#N/A
2015-05-23,240.64,#N/A
2015-05-24,242,#N/A
2015-05-25,241.4,#N/A
2015-05-26,238.34,#N/A
2015-05-27,238.75,#N/A
2015-05-28,238.48,#N/A
2015-05-29,237.68,#N/A
2015-05-30,236.99,#N/A
2015-05-31,233.94,#N/A
2015-06-01,230.99,#N/A
2015-06-02,226.68,#N/A
2015-06-03,227.45,#N/A
2015-06-04,226.07,#N/A
2015-06-05,226.74,#N/A
2015-06-06,225.61,#N/A
2015-06-07,226.09,#N/A
2015-06-08,230.16,#N/A
2015-06-09,232.06,#N/A
2015-06-10,230.45,#N/A
2015-06-11,230.92,#N/A
2015-06-12,231.32,#N/A
2015-06-13,233.33,#N/A
2015-06-14,235,#N/A
2015-06-15,238.5,#N/A
2015-06-16,253.26,#N/A
2015-06-17,259.46,#N/A
2015-06-18,253.29,#N/A
2015-06-19,251.05,#N/A
2015-06-20,246.99,#N/A
2015-06-21,246.98,#N/A
2015-06-22,248.5,#N/A
2015-06-23,248.06,#N/A
2015-06-24,244.92,#N/A
2015-06-25,243.44,#N/A
2015-06-26,243.1,#N/A
2015-06-27,252.22,#N/A
2015-06-28,252,#N/A
2015-06-29,257.99,#N/A
2015-06-30,269.39,#N/A
2015-07-01,265.45,#N/A
2015-07-02,262,#N/A
2015-07-03,257.37,#N/A
2015-07-04,261,#N/A
2015-07-05,275.25,#N/A
2015-07-06,277.88,#N/A
2015-07-07,272.11,#N/A
2015-07-08,273.97,#N/A
2015-07-09,272.5,#N/A
2015-07-10,294.71,#N/A
2015-07-11,299,#N/A
2015-07-12,316.52,#N/A
2015-07-13,312.91,#N/A
2015-07-14,297.78,#N/A
2015-07-15,294.11,#N/A
2015-07-16,292.78,#N/A
2015-07-17,281.38,#N/A
2015-07-18,282.71,#N/A
2015-07-19,278.48,#N/A
2015-07-20,279.72,#N/A
2015-07-21,281.27,#N/A
2015-07-22,278.54,#N/A
2015-07-23,279.75,#N/A
2015-07-24,291.52,#N/A
2015-07-25,291.67,#N/A
2015-07-26,294.49,#N/A
2015-07-27,297,#N/A
2015-07-28,298,#N/A
2015-07-29,296.58,#N/A
2015-07-30,291.56,#N/A
2015-07-31,290,#N/A
2015-08-01,285.6,#N/A
2015-08-02,282.58,#N/A
2015-08-03,285.86,#N/A
2015-08-04,286.47,#N/A
2015-08-05,286.25,#N/A
2015-08-06,282.77,#N/A
2015-08-07,281.17,#N/A
2015-08-08,280.16,#N/A
2015-08-09,268.8,#N/A
2015-08-10,268.89,#N/A
2015-08-11,271.99,#N/A
2015-08-12,272.4,#N/A
2015-08-13,269.49,#N/A
2015-08-14,267.98,#N/A
2015-08-15,267.69,#N/A
2015-08-16,263.1,#N/A
2015-08-17,261.57,#N/A
2015-08-18,258.64,#N/A
2015-08-19,247.43,#N/A
2015-08-20,238.2,#N/A
2015-08-21,236.99,#N/A
2015-08-22,235.53,#N/A
2015-08-23,233.25,#N/A
2015-08-24,229.84,#N/A
2015-08-25,229.49,#N/A
2015-08-26,231.97,#N/A
2015-08-27,229.99,#N/A
2015-08-28,236.18,#N/A
2015-08-29,233.95,#N/A
2015-08-30,233.47,#N/A
2015-08-31,233,#N/A
2015-09-01,233.5,#N/A
2015-09-02,231.43,#N/A
2015-09-03,231.36,#N/A
2015-09-04,232.49,#N/A
2015-09-05,231.61,#N/A
2015-09-06,244.82,#N/A
2015-09-07,242.98,#N/A
2015-09-08,247.82,#N/A
2015-09-09,244.69,#N/A
2015-09-10,241.4,#N/A
2015-09-11,241.54,#N/A
2015-09-12,241.13,#N/A
2015-09-13,236.92,#N/A
2015-09-14,233.99,#N/A
2015-09-15,232.43,#N/A
2015-09-16,232,#N/A
2015-09-17,235.93,#N/A
2015-09-18,234.96,#N/A
2015-09-19,234.31,#N/A
2015-09-20,234,#N/A
2015-09-21,233.64,#N/A
2015-09-22,232.5,#N/A
2015-09-23,233,#N/A
2015-09-24,235.99,#N/A
2015-09-25,237.62,#N/A
2015-09-26,236.2,265.7125
2015-09-27,235.13,265.2629333
2015-09-28,240.42,264.8043333
2015-09-29,241.05,264.3478333
2015-09-30,238.75,263.8836667
2015-10-01,239.86,263.4262
2015-10-02,239.4,262.9642
2015-10-03,240.62,262.5062667
2015-10-04,240.28,262.0472
2015-10-05,240.77,261.5997667
2015-10-06,248,261.0997667
2015-10-07,247.96,260.7246333
2015-10-08,245.38,260.2792333
2015-10-09,244.88,259.9288333
2015-10-10,246.1,259.5825
2015-10-11,250,259.2491667
2015-10-12,249.14,258.9129667
2015-10-13,251.5,258.5846333
2015-10-14,255,258.2679667
2015-10-15,256.77,257.9905333
2015-10-16,267.6,257.7492
2015-10-17,274.81,257.5319
2015-10-18,273.5,257.3102333
2015-10-19,268.23,257.071
2015-10-20,272.95,256.8475
2015-10-21,272.85,256.6236667
2015-10-22,280,256.4236667
2015-10-23,281.17,256.2275667
2015-10-24,284,256.0409
2015-10-25,295.93,255.894
2015-10-26,288.99,255.7239667
2015-10-27,297.99,255.5839333
2015-10-28,308.93,255.4803667
2015-10-29,320.99,255.417
2015-10-30,336.97,255.4069
2015-10-31,334.28,255.3878333
2015-11-01,332,255.3611667
2015-11-02,371.82,255.4672333
2015-11-03,422.3,255.7415667
2015-11-04,499.99,256.2082
2015-11-05,450,256.7449
2015-11-06,395,257.0982667
2015-11-07,392,257.4416333
2015-11-08,389,257.775
2015-11-09,386.96,258.1015667
2015-11-10,382.23,258.509
2015-11-11,341.75,258.9015
2015-11-12,344.99,259.2998
2015-11-13,343,259.7431333
2015-11-14,339.57,260.2617
2015-11-15,336.46,260.6315333
2015-11-16,334.1,260.9935
2015-11-17,340.72,261.3775333
2015-11-18,338,261.6451
2015-11-19,336.59,261.9837333
2015-11-20,327.12,262.2388667
2015-11-21,328,262.478
2015-11-22,327,262.4922667
2015-11-23,326,262.6507
2015-11-24,323.17,262.8413
2015-11-25,330.06,263.1348333
2015-11-26,368.18,263.5468
2015-11-27,364.46,263.9794333
2015-11-28,360,264.4001333
2015-11-29,373.63,264.8452333
2015-11-30,382.87,265.3084667
2015-12-01,378.94,265.8016333
2015-12-02,363.06,266.2488333
2015-12-03,369.99,266.7266667
2015-12-04,364.85,267.1745
2015-12-05,390,267.7025
2015-12-06,401.01,268.2892
2015-12-07,397.57,268.8723
2015-12-08,409.2,269.4909333
2015-12-09,425,270.1589
2015-12-10,419.5,270.7493667
2015-12-11,452.73,271.3918667
2015-12-12,469.34,272.0634667
2015-12-13,443.83,272.7395667
2015-12-14,450,273.4129
2015-12-15,464.95,274.1427333
2015-12-16,464.73,274.8751667
2015-12-17,456.33,275.5685333
2015-12-18,465.1,276.2918
2015-12-19,465.6,277.0188667
2015-12-20,461.4,277.7536333
2015-12-21,444.44,278.4310667
2015-12-22,442,279.1011
2015-12-23,445.11,279.7899333
2015-12-24,460,280.4599333
2015-12-25,458.99,281.1333333
2015-12-26,458.29,281.7944
2015-12-27,429.85,282.3105667
2015-12-28,429.9,282.7785667
2015-12-29,433,283.2652333
2015-12-30,434.99,283.7782333
2015-12-31,434,284.2915667
2016-01-01,437.15,284.8172667
2016-01-02,437.56,285.3459
2016-01-03,435.88,285.8174333
2016-01-04,435.79,286.2718
2016-01-05,435.51,286.7308333
2016-01-06,433.46,287.1793667
2016-01-07,458.68,287.7199
2016-01-08,464.4,288.3045667
2016-01-09,456,288.8604333
2016-01-10,451.45,289.3819667
2016-01-11,452.65,289.9118333
2016-01-12,449.49,290.4533
2016-01-13,446.57,291.0525333
2016-01-14,435.27,291.6120333
2016-01-15,430.67,292.1674667
2016-01-16,387.81,292.5559333
2016-01-17,391,292.9459667
2016-01-18,386.1,293.3379333
2016-01-19,385.5,293.7896333
2016-01-20,425.1,294.3569667
2016-01-21,424.78,294.9362667
2016-01-22,413.99,295.4662667
2016-01-23,398.72,295.9486667
2016-01-24,406.93,296.4715667
2016-01-25,403.94,296.9847667
2016-01-26,397,297.4807
2016-01-27,397.18,297.9538333
2016-01-28,395,298.4124
2016-01-29,385.05,298.8405667
2016-01-30,382.04,299.2407
2016-01-31,382.5,299.6390333
2016-02-01,379,300.042
2016-02-02,374.41,300.4375333
2016-02-03,373.01,300.8537
2016-02-04,390.63,301.3393
2016-02-05,390.49,301.8409667
2016-02-06,384.54,302.3255667
2016-02-07,379.81,302.7981667
2016-02-08,379.35,303.3221333
2016-02-09,374.93,303.8244333
2016-02-10,383.34,304.3330667
2016-02-11,379.5,304.8311333
2016-02-12,382,305.3576667
2016-02-13,396,305.9219333
2016-02-14,404.54,306.5122333
2016-02-15,409.09,307.0898333
2016-02-16,407.5,307.6528333
2016-02-17,420.13,308.2666
2016-02-18,423.2,308.8875
2016-02-19,422,309.5152667
2016-02-20,444.03,310.2356667
2016-02-21,448.7,310.9609667
2016-02-22,439,311.6608333
2016-02-23,440.9,312.3728333
2016-02-24,425.6,312.9915
2016-02-25,426.4,313.6169
2016-02-26,427.5,314.2514
2016-02-27,434.97,314.8914
2016-02-28,436.07,315.5316667
2016-02-29,442,316.205
2016-03-01,437.78,316.8713667
2016-03-02,435.36,317.5253
2016-03-03,424.12,318.1155
2016-03-04,422.21,318.6975333
2016-03-05,409.12,319.2449667
2016-03-06,409.27,319.7909
2016-03-07,418.74,320.3753667
2016-03-08,416.33,320.9493667
2016-03-09,414,321.5293667
2016-03-10,416.52,322.1211
2016-03-11,421,322.7311333
2016-03-12,421.3,323.3406333
2016-03-13,416.38,323.9356
2016-03-14,415.84,324.5386667
2016-03-15,416.94,325.1451333
2016-03-16,416.39,325.7439667
2016-03-17,419.75,326.3364667
2016-03-18,418.75,326.9301667
2016-03-19,411,327.4935
2016-03-20,415.34,328.0733
2016-03-21,413.97,328.6587333
2016-03-22,417.79,329.2555333
2016-03-23,418.99,329.8572333
2016-03-24,417.72,330.4573667
2016-03-25,416.7,331.0564
2016-03-26,417.77,331.6691667
2016-03-27,426.5,332.3208667
2016-03-28,425.36,332.9831333
2016-03-29,424.62,333.6403667
2016-03-30,416.5,334.2751333
2016-03-31,417.6,334.9113333
2016-04-01,417.5,335.5509667
2016-04-02,420.5,336.199
2016-04-03,420.8,336.8344667
2016-04-04,421,337.4642667
2016-04-05,423.43,338.1075333
2016-04-06,423,338.7478
2016-04-07,422.74,339.3858667
2016-04-08,424.65,340.0236
2016-04-09,419.79,340.6395667
2016-04-10,423.99,341.2578667
2016-04-11,424,341.827
2016-04-12,429.77,342.3947
2016-04-13,429.4,342.9817333
2016-04-14,428,343.5715667
2016-04-15,431.1,344.1852667
2016-04-16,434.89,344.8116333
2016-04-17,434.72,345.4323667
2016-04-18,434.72,346.0545667
2016-04-19,438.2,346.6988333
2016-04-20,444.07,347.3676
2016-04-21,453.8,348.0699333
2016-04-22,453,348.7392
2016-04-23,455.69,349.4181667
2016-04-24,465,350.1082
2016-04-25,472.38,350.7848333
2016-04-26,472.11,351.4737
2016-04-27,470.79,352.1696667
2016-04-28,451.51,352.8168
