Label,Altcoins,Bitcoin
2016-02-19,1049336675,6435326200
2016-02-20,1038201481,6659557330
2016-02-22,1146660872,6685299212
2016-02-23,1126162910,6396818225
2016-02-24,1190031282,6420899755
2016-02-25,1144723512,6467023017
2016-02-26,1163213801,6565982456
2016-02-27,1190882109,6506687806
2016-02-28,1213689059,6675612710
2016-02-29,1199683495,6662446584
2016-03-01,1284278996,6626506924
2016-03-02,1360790695,6426973080
2016-03-03,1418304738,6493828922
2016-03-04,1522505589,6249195621
2016-03-05,1601892439,6148846166
2016-03-06,1558510512,6265639929
2016-03-07,1437762499,6361940475
2016-03-08,1564342423,6299091354
2016-03-09,1691662338,6326757582
2016-03-10,1625951702,6452303123
2016-03-11,1842807331,6365190924
2016-03-12,1895847552,6339923029
2016-03-13,1857129835,6378073330
2016-03-14,1764387711,6401551664
2016-03-15,1823188070,6380556370
2016-03-16,1756195684,6435605950
2016-03-17,1598552863,6402774684
2016-03-18,1530286737,6281751134
2016-03-19,1597868187,6319501648
2016-03-20,1588622950,6305552572
2016-03-21,1683775131,6398392346
2016-03-22,1717452939,6423460342
2016-03-23,1686576720,6418763922
2016-03-24,1649153058,6393016010
2016-03-25,1656810352,6421104932
2016-03-26,1667786313,6422508694
2016-03-27,1683013933,6549309183
2016-03-28,1693256223,6522271610
2016-03-29,1720266767,6370307497
2016-03-30,1710359399,6405171784
2016-03-31,1699554624,6405705894
2016-04-01,1680677651,6473908572
2016-04-02,1695383086,6466468894
2016-04-03,1708561573,6500566195
2016-04-04,1644458497,6521821509
2016-04-05,1599748448,6533235835
2016-04-06,1614980796,6501247180
2016-04-07,1550679274,6532873176
2016-04-08,1530373024,6438285674
2016-04-09,1398842487,6473485254
2016-04-10,1373917608,6495266900
2016-04-11,1311359203,6561977003
2016-04-12,1262584892,6560529803
2016-04-13,1349422720,6531992081
2016-04-14,1371921936,6560001051
2016-04-15,1359430368,6654426700
2016-04-16,1406777280,6633200453
2016-04-17,1453923244,6622978986
2016-04-18,1472532775,6620756667
2016-04-19,1432013797,6742868353
2016-04-20,1446424622,6823715744
2016-04-21,1415439898,6883145722
2016-04-22,1387157464,6883222520
2016-04-23,1423912324,7005305054
2016-04-24,1403521678,7072938384
2016-04-25,1342079340,7176218360
2016-04-26,1349401652,7222188438
2016-04-27,1345653667,6831230230
2016-04-28,1351078976,6941618621
2016-04-29,1366049415,7028645291
2016-04-30,1449391062,6962258185
